"","imdb_title_id","title","year","genre","duration","country","language","director","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"63221","tt1929263","Il paradiso per davvero",2014,"Biography, Drama, Family",99,"USA","English","Randall Wallace",5.8,25440,12000000,91443253,101888019,47,183,89
"63242","tt1931466","Volano coltelli",2012,"Drama",100,"USA","English","Bill Guttentag",5.1,1339,7000000,5661,5661,34,13,35
"63254","tt1932767","Quel che sapeva Maisie",2012,"Drama",99,"USA","English","Scott McGehee, David Siegel",7.4,26484,6000000,1066471,2711379,74,99,174
"63276","tt1935089","Amore inaspettato",2017,"Drama, Romance",98,"USA","English","Michael Mailer",5.8,3436,2500000,12522,98280,36,28,22
"63281","tt1935179","Mud",2012,"Drama",130,"USA","English","Jeff Nichols",7.4,164768,10000000,21590086,32613173,76,313,391
"63296","tt1935902","Botte di fortuna",2012,"Comedy, Fantasy, Thriller",101,"USA","English","Ramaa Mosley",6.4,14450,900000,6997,245027,43,45,64
"63356","tt1945062","About Cherry",2012,"Drama",98,"USA","English","Stephen Elliott",4.8,9636,2500000,3003,8315,33,43,51
"63359","tt1945087","In Our Nature",2012,"Drama",103,"USA","English","Brian Savelson",5.7,735,1000000,6543,6543,51,8,18
"63407","tt1951264","Hunger Games: La ragazza di fuoco",2013,"Action, Adventure, Mystery",146,"USA","English","Francis Lawrence",7.5,603034,130000000,424668047,865011746,76,726,526
"63416","tt1954352","Crooked Arrows",2012,"Drama, Sport",105,"USA","English","Steve Rash",5.9,1821,13000000,1832541,1832541,42,15,22
"63461","tt1959490","Noah",2014,"Action, Adventure, Drama",138,"USA","English","Darren Aronofsky",5.7,240005,125000000,101200044,359200044,68,1401,447
"63501","tt1966359","2 gran figli di...",2017,"Comedy, Drama",113,"USA","English","Lawrence Sher",5.5,17279,25000000,17501244,25601244,22,99,60
"63510","tt1967545","Un giorno come tanti",2013,"Drama, Romance, Thriller",111,"USA","English","Jason Reitman",6.9,41851,18000000,13371528,20275812,52,131,221
"63512","tt1967614","The Comedian",2016,"Comedy, Drama, Romance",120,"USA","English","Taylor Hackford",5.7,6592,15000000,1659002,1659002,40,72,77
"63517","tt1969062","Teneramente folle",2014,"Comedy, Drama, Romance",90,"USA","English","Maya Forbes",7,14817,6700000,1430655,1824678,64,61,102
"63526","tt1971352","Compliance",2012,"Crime, Drama, Thriller",90,"USA","English","Craig Zobel",6.4,30693,270000,319285,592116,68,218,296
"63540","tt1972779","The Best of Me - Il meglio di me",2014,"Drama, Romance",118,"USA","English","Michael Hoffman",6.7,64623,26000000,26766213,38609668,29,146,92
"63553","tt1974420","L'eccezione alla regola",2016,"Comedy, Drama, Romance",127,"USA","English","Warren Beatty",5.7,9328,25000000,3652206,3885342,60,78,147
"63600","tt1979376","Toy Story 4",2019,"Animation, Adventure, Comedy",100,"USA","English","Josh Cooley",7.8,189129,200000000,434038008,1073394593,84,1287,382
"63602","tt1979388","Il viaggio di Arlo",2015,"Animation, Adventure, Comedy",93,"USA","English","Peter Sohn",6.7,99311,200000000,123087120,332207671,66,484,336
"63608","tt1980209","Pain & Gain - Muscoli e denaro",2013,"Action, Comedy, Crime",129,"USA","English","Michael Bay",6.4,197887,26000000,49875291,87305549,45,325,348
"63613","tt1980929","Tutto può cambiare",2013,"Comedy, Drama, Music",104,"USA","English","John Carney",7.4,139728,8000000,16170632,63464861,62,265,294
"63623","tt1981115","Thor: The Dark World",2013,"Action, Adventure, Fantasy",112,"USA","English","Alan Taylor",6.9,582153,170000000,206362140,644783140,54,703,525
"63630","tt1981677","Voices",2012,"Comedy, Music, Romance",112,"USA","English","Jason Moore",7.2,271720,17000000,65001093,115350426,66,321,237
"63643","tt1985017","Atlas Shrugged II: The Strike",2012,"Drama, Mystery, Sci-Fi",111,"USA","English","John Putch",5.3,6682,10000000,3336053,3336053,26,124,24
"63701","tt1990181","Brake - Fino all'ultimo respiro",2012,"Thriller",92,"USA","English","Gabe Torres",6.1,11323,500000,4876,102819,38,88,64
"63705","tt1990314","Robot & Frank",2012,"Comedy, Crime, Drama",89,"USA","English","Jake Schreier",7.1,61244,2500000,3325038,4806423,67,113,212
"63730","tt1995260","Battlefield America",2012,"Drama, Musical",106,"USA","English","Chris Stokes",2.7,1414,15000000,172000,252805,31,6,16
"63731","tt1995304","Fat Kid Rules the World",2012,"Comedy, Drama",98,"USA","English","Matthew Lillard",6.5,3212,750000,41000,41000,54,12,41
"63733","tt1995341","It's a Disaster",2012,"Comedy, Drama",88,"USA","English","Todd Berger",6.4,10290,500000,60818,60818,57,64,76
"63741","tt1996264","Le squillo della porta accanto",2012,"Comedy",85,"USA","English","Jamie Travis",6,15526,850000,1251749,1386088,55,37,115
"63764","tt1999890","Hell Fest",2018,"Horror, Thriller",89,"USA","English","Gregory Plotkin",5.5,12863,5500000,11107431,18159691,26,238,122
"63783","tt2004420","Cattivi vicini",2014,"Comedy",97,"USA","English","Nicholas Stoller",6.3,280904,18000000,150157400,270665134,68,425,363
"63837","tt2011159","Ossessione omicida",2014,"Action, Crime, Drama",84,"USA","English","Sam Miller",5.6,17768,13200000,52543632,54323210,26,102,60
"63874","tt2015381","Guardiani della Galassia",2014,"Action, Adventure, Comedy",121,"USA","English","James Gunn",8,1023350,170000000,333176600,772791156,76,1405,721
