director,avg_vote
Oscar Micheaux,6.3
Wallace Worsley,6.8
"Robert F. Hill, Scott Sidney",6
Cecil B. DeMille,6.6
Max Linder,6.9
Ernst Lubitsch,7
Lois Weber,6.8
George D. Baker,6.4
Ray C. Smallwood,6.6
Rex Ingram,6.8
D.W. Griffith,5.5
Maurice Campbell,6.4
Marcel L'Herbier,7
Robert G. Vignola,6.4
Cecil B. DeMille,6.5
Rex Ingram,7.2
"Svend Gade, Heinz Schall",7
"Leopold Jessner, Paul Leni",6.8
Joe May,6.7
Joe May,6.6
Mauritz Stiller,6.8
Charles Chaplin,8.3
Victor Sjöström,8.1
"James Cruze, Roscoe 'Fatty' Arbuckle",6.1
"Alfred E. Green, Jack Pickford",6.7
Frances Marion,6.5
William C. de Mille,7
"Albert Austin, Victor Heerman",6.2
Fritz Lang,7.7
Theodore Reed,6.5
D.W. Griffith,7.4
Tod Browning,6.5
Minoru Murata,6.7
Fred C. Newmeyer,6.9
Dimitri Buchowetzki,6.8
Lupu Pick,6.4
F.W. Murnau,6.2
George Melford,6.4
King Vidor,5.8
André Antoine,6.9
Fred Niblo,6.9
"Alfred E. Green, Jack Pickford",6.8
Henry King,6.8
Lois Weber,5.9
Fritz Lang,6.2
Robert G. Vignola,6.1
Sam Wood,6.7
"Fred Niblo, Dorothy Arzner",6.4
F.W. Murnau,6.9
George Terwilliger,6.2
Jacques Feyder,7.1
Carl Theodor Dreyer,6.3
"Fred C. Newmeyer, Sam Taylor",7.1
Elmer Clifton,6.1
Louis Delluc,6.5
Irving Cummings,6.2
Erich von Stroheim,7
Carl Theodor Dreyer,6.5
Fred C. Newmeyer,7
Edward D. Venturini,4.9
Maurice Tourneur,6.7
Burton L. King,5.4
Cecil B. DeMille,6.2
"Rupert Julian, Erich von Stroheim",6.6
Emmett J. Flynn,6.7
George Melford,6.4
Manfred Noa,6.9
F.W. Murnau,7.9
Frank Lloyd,6.7
Dimitri Buchowetzki,6.4
F.W. Murnau,6.9
Rex Ingram,6.7
Allan Dwan,7.2
"Charles Bryant, Alla Nazimova",6.6
Cecil B. DeMille,6.6
Arthur Robison,6.8
Henry King,5.9
Tom Forman,6.3
Albert Parker,5.8
Lynn Reynolds,5.8
Michael Curtiz,6
John S. Robertson,6.9
Max Linder,7
Chester M. Franklin,6.6
Robert Thornby,6
Harry B. Parkinson,5.8
Ernst Lubitsch,6.6
Robert G. Vignola,6.3
Phil Rosen,6.3
Ewald André Dupont,6.8
John Ford,5.2
Jean Epstein,7.5
James Cruze,6.6
F. Richard Jones,6.6
Mauritz Stiller,6.9
Mauritz Stiller,7.1
Harry Houdini,5.5
Wallace Worsley,7.2
Sidney Olcott,6.2
"John G. Blystone, Buster Keaton",7.8
Charles Chaplin,7.4
Robert Wiene,6.8
"Ernst Lubitsch, Raoul Walsh",6.5
Abel Gance,7.5
"Fred C. Newmeyer, Sam Taylor",8.1
Rex Ingram,7
Georg Wilhelm Pabst,6.7
Lambert Hillyer,6.5
Rupert Hughes,7
Karl Grune,7
Lupu Pick,6.2
Cecil B. DeMille,6.8
"Edward F. Cline, Buster Keaton",7.1
"Leo Birinsky, Paul Leni",6.6
D.W. Griffith,6.4
Henry King,6.8
Tod Browning,6.2
"Fred C. Newmeyer, Sam Taylor",7.4
Charles Chaplin,7
Allan Dwan,6.2
Yakov Protazanov,6.6
D.W. Griffith,6.4
Harry Beaumont,6.7
Frank Lloyd,5.9
Edward F. Cline,6.9
Lewis H. Moomaw,6.5
Henry Otto,5.7
"Marshall Neilan, Mary Pickford",6.9
John S. Robertson,6.5
William A. Seiter,6.3
Jean Renoir,6.8
F.W. Murnau,6.4
Ernst Lubitsch,6.1
"Fred C. Newmeyer, Sam Taylor",7.7
Victor Sjöström,7.8
Sidney Franklin,6.8
"Fred C. Newmeyer, Sam Taylor",7.2
Marcel L'Herbier,7.2
John Ford,7.2
D.W. Griffith,6.9
E. Mason Hopper,5.7
Alexandre Volkoff,6.7
F.W. Murnau,8.1
Allan Dwan,6.5
Ernst Lubitsch,7.2
Carl Theodor Dreyer,7.1
Sidney Olcott,5.7
"Donald Crisp, Buster Keaton",7.7
Lev Kuleshov,6.6
Fritz Lang,7.9
Fritz Lang,8.1
Paul Bern,4.7
Robert Wiene,7.1
Yuri Zhelyabuzhsky,6.8
René Clair,7.2
Herbert Brenon,7.1
Fred Niblo,7.1
Henry King,6.3
Frank Lloyd,7
Frank Borzage,5.5
Buster Keaton,8.2
Sergei M. Eisenstein,7.6
Raoul Walsh,7.7
Graham Cutts,6.3
King Vidor,6.8
King Vidor,5.9
Robert G. Vignola,5.8
"Lotte Reiniger, Carl Koch",7.8
"King Vidor, George W. Hill",7.9
Oscar Micheaux,6.2
Alan Hale,7
Sergei M. Eisenstein,8
Frank Borzage,6.3
Noel M. Smith,6.6
Joseph Henabery,6.4
Donald Crisp,7
Carl Theodor Dreyer,7.1
Clarence Brown,6.6
René Clair,6.3
Marcel L'Herbier,7.1
"Fred C. Newmeyer, Sam Taylor",7.5
Georg Wilhelm Pabst,7.2
Kenji Mizoguchi,5.8
Carl Theodor Dreyer,6.6
Buster Keaton,7.2
Charles Chaplin,8.2
Clarence Brown,6.9
Erich von Stroheim,8.1
Jacques Feyder,6.9
Sidney Franklin,6.5
Pedro Sienna,6.6
Ernst Lubitsch,7.3
Monta Bell,6.6
Frank Borzage,5
Frank Borzage,7.2
Monta Bell,6
William Beaudine,6.7
David Butler,7.1
Harry O. Hoyt,7
Erich von Stroheim,7.3
Roland West,6.2
Tod Browning,6.4
Buntarô Futagawa,7.1
Louis J. Gasnier,6.2
Clarence G. Badger,6.7
"Rupert Julian, Lon Chaney",7.6
Wesley Ruggles,6
Alfred Hitchcock,6
Julien Duvivier,7
"Franz Osten, Himanshu Rai",6.8
Monta Bell,3.7
Edward F. Cline,7.1
"Walter Lang, Dorothy Davenport",6.6
Lynn Reynolds,6.4
Cecil B. DeMille,6.8
D.W. Griffith,6.6
Edmund Goulding,3.8
Josef von Sternberg,6.7
Buster Keaton,7.9
"Leander De Cordova, G.B. Samuelson",6.1
John S. Robertson,4.1
H.K. Breslauer,6.4
Allan Dwan,6.5
Henry King,7.2
"King Baggot, William S. Hart",6.5
Tod Browning,7.2
George B. Seitz,6.8
Ewald André Dupont,7.4
Jacques Feyder,7.7
René Clair,6.7
Larry Semon,5.1
"George Chesebro, Bruce Mitchell",5.8
Malcolm St. Clair,6.9
Yakov Protazanov,6.8
George W. Hill,5.4
Arthur von Gerlach,6.6
King Vidor,7
Roland West,6.5
Buster Keaton,7
Herbert Brenon,7
James Young,6.5
Charles Reisner,6.3
Sidney Franklin,5.9
Albert Parker,7.1
Tod Browning,6.8
John Ford,5.5
King Vidor,7.3
William A. Wellman,5
Jack Conway,6.2
Rasmus Breistein,6.6
Herbert Brenon,6.6
Alan Crosland,7
Alfred E. Green,6.7
Paul Sloane,4.6
Sam Taylor,6.9
F.W. Murnau,8.1
Howard Hawks,6.4
"Richard Rosson, Lewis Milestone",5.8
Clarence Brown,7.6
Sam Taylor,7.5
Georg Wilhelm Pabst,6.9
Lewis Seiler,6.3
