,title,year,genre,duration,country,language,director,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,votecat,director_avg
628,Otto notti di follie,2002,"Animation, Comedy, Musical",76,USA,English,Seth Kearsley,5.4,21191,34000000,23586598,23833131,23,165,66,Middle,5.4
629,Arac Attack - Mostri a otto zampe,2002,"Action, Adventure, Comedy",99,USA,English,Ellory Elkayem,5.4,51992,30000000,17322606,45867333,53,314,193,Middle,4.0
630,Joshua,2002,Drama,91,USA,English,Jon Purdy,6.7,1769,9000000,1461635,1461635,38,87,18,High,5.9
631,Il castello,2001,"Action, Drama, Thriller",131,USA,English,Rod Lurie,7.0,69830,72000000,18244060,27642707,43,307,103,High,6.671428571428572
632,Ubriaco d'amore,2002,"Comedy, Drama, Romance",95,USA,English,Paul Thomas Anderson,7.3,144254,25000000,17844216,24665649,78,952,268,High,7.500000000000001
633,Poolhall Junkies,2002,"Comedy, Drama, Sport",99,USA,English,Mars Callahan,6.9,9536,4000000,563711,563711,36,116,35,High,5.766666666666667
634,Secretary,2002,"Comedy, Drama, Romance",107,USA,English,Steven Shainberg,7.0,81824,4000000,4059680,9304609,63,421,176,High,5.925
635,Crossroads - Le strade della vita,2002,"Comedy, Drama, Romance",93,USA,English,Tamra Davis,3.5,38047,12000000,37191304,61141030,27,576,117,Middle,5.757142857142858
636,Tape,2001,Drama,86,USA,English,Richard Linklater,7.3,18519,100000,490475,515900,71,111,57,High,7.029999999999999
637,I Mattacchiorsi,2002,"Comedy, Family, Music",88,USA,English,Peter Hastings,4.1,4996,35000000,16990825,18012097,37,81,39,Middle,4.1
638,Mi chiamo Sam,2001,Drama,132,USA,English,Jessie Nelson,7.7,141155,22000000,40311852,97818139,28,462,117,High,6.7
639,Non è un'altra stupida commedia americana,2001,Comedy,89,USA,English,Joel Gallen,5.7,95477,15000000,38252284,66468332,32,404,96,Middle,5.7
640,Via dall'incubo,2002,"Crime, Drama, Thriller",115,USA,English,Michael Apted,5.8,38833,38000000,40007742,51806184,25,253,90,Middle,6.447619047619048
641,Due sballati al college,2001,"Comedy, Fantasy",93,USA,English,Jesse Dylan,6.3,52647,20000000,31178740,31283740,29,113,37,Middle,6.066666666666666
